# nOldFirehouses, nNewFirehouses, nBoroughs, cost_coef, capacity
4, 8, 11, 2.5, 3
# old firehouses: loc_id, x_coord, y_coord, destruction_cost
s1, 135, 32, 50
s2, 359, 121, 60
s3, 30, 350, 30
s4, 332, 302, 30
# new firehouses: loc_id, x_coord, y_coord, construction_cost
t1, 48, 133, 100
t2, 165, 96, 120
t3, 295, 88, 110
t4, 383, 153, 90
t5, 223, 185, 80
t6, 63, 282, 100
t7, 125, 230, 70
t8, 275, 248, 80
# boroughs: loc_id, x_coord, y_coord, currently_protected_by
b1, 81, 74, s1
b2, 120, 159, s1
b3, 200, 38, s1
b4, 236, 124, s2
b5, 340, 50, s2
b6, 439, 88, s2
b7, 60, 230, s3
b8, 130, 297, s3
b9, 185, 230, s3
b10, 360, 180, s4
b11, 385, 271, s4
